order_id,merchant_id,refund_destination_account
ORD2015494,MERCH009,1lda1dr@oksbi
ORD2011242,MERCH019,bank_acct_0770****2070
ORD2038960,MERCH017,bank_acct_5232****5668
ORD2053464,MERCH016,bank_acct_2056****3534
ORD2033634,MERCH015,bank_acct_1341****7862
ORD2052009,MERCH017,bank_acct_5108****8780
ORD2045539,MERCH012,vsypgyq@okhdfcbank
ORD2027858,MERCH002,bahyc5w@okhdfcbank
ORD2050875,MERCH016,wgyokbv@okaxis
ORD2020512,MERCH019,bank_acct_1447****8182
ORD2036363,MERCH006,bank_acct_4790****6484
ORD2031735,MERCH012,bank_acct_0953****4643
ORD2058892,MERCH006,bank_acct_5396****1442
ORD2027564,MERCH009,xtjkky8@oksbi
ORD2053634,MERCH004,wjm2vm9@okhdfcbank
ORD2045334,MERCH019,kj2pnld@oksbi
ORD2033067,MERCH004,bank_acct_7464****3512
ORD2026962,MERCH008,bank_acct_3991****0543
ORD2001776,MERCH017,mkshobp@okicici
ORD2001342,MERCH017,bank_acct_5315****3249
ORD2026460,MERCH001,bank_acct_9834****1406
ORD2039099,MERCH008,bank_acct_0945****8176
ORD2006990,MERCH002,fvff2sy@ybl
ORD2052705,MERCH016,yc402be@okhdfcbank
ORD2019552,MERCH012,bank_acct_3055****7333
ORD2036582,MERCH013,vsci7l6@okicici
ORD2038800,MERCH005,bank_acct_4926****3711
ORD2010008,MERCH014,ftdx31l@okicici
ORD2042780,MERCH018,bank_acct_4153****9165
ORD2045952,MERCH014,bank_acct_2331****6705
ORD2057246,MERCH008,hut86ic@okicici
ORD2022124,MERCH011,bank_acct_7326****7957
ORD2037418,MERCH008,bank_acct_2606****6032
ORD2021007,MERCH014,o2go9sd@okicici
ORD2034582,MERCH011,oskery3@okhdfcbank
ORD2027930,MERCH013,bank_acct_8222****3104
ORD2029777,MERCH019,mixcnzw@okaxis
ORD2006240,MERCH012,bank_acct_7451****8735
ORD2041594,MERCH004,bank_acct_1268****5048
ORD2014710,MERCH017,bank_acct_2531****7246
ORD2038633,MERCH002,ghmoeqr@okicici
ORD2047743,MERCH006,bank_acct_0300****1624
ORD2033926,MERCH008,umx66ut@ybl
ORD2050338,MERCH017,bank_acct_8495****0588
ORD2047470,MERCH002,letr7fa@okaxis
ORD2046284,MERCH013,o2hgcq3@ybl
ORD2007054,MERCH003,m9bbwje@okaxis
ORD2005353,MERCH015,bank_acct_4839****5538
ORD2029976,MERCH010,oydn55c@ybl
ORD2048166,MERCH010,cf9uyfg@okicici
ORD2038834,MERCH016,bank_acct_0818****3793
ORD2055376,MERCH018,bank_acct_6768****0438
ORD2002472,MERCH015,bank_acct_3601****2023
ORD2039531,MERCH001,y2kx2yw@okicici
ORD2058782,MERCH012,bank_acct_2786****1470
ORD2000968,MERCH007,yfqdvat@okaxis
ORD2044528,MERCH010,bank_acct_7857****8372
ORD2033824,MERCH019,bfo1hco@okhdfcbank
ORD2024695,MERCH010,9zn9w5n@okicici
ORD2046990,MERCH020,n2vcpkw@ybl
ORD2008258,MERCH007,bank_acct_8224****6318
ORD2044992,MERCH012,nxejs3o@okicici
ORD2040017,MERCH019,6vbfgqa@okicici
ORD2058901,MERCH016,w2l3ryg@oksbi
ORD2007154,MERCH007,tlftrku@okaxis
ORD2019734,MERCH018,bank_acct_7161****0767
ORD2014929,MERCH008,bank_acct_6534****8200
ORD2021419,MERCH005,h8m819q@ybl
ORD2038272,MERCH001,wam2hc9@ybl
ORD2004309,MERCH014,itw2nqy@okicici
ORD2052352,MERCH001,bank_acct_3617****4082
ORD2053259,MERCH008,lio4bu4@okaxis
ORD2013587,MERCH018,ycxocvd@okhdfcbank
ORD2020444,MERCH012,otpuht3@okhdfcbank
ORD2024628,MERCH017,bank_acct_5232****5668
ORD2025774,MERCH016,bank_acct_0818****3793
ORD2042168,MERCH010,2urdfpr@oksbi
ORD2017567,MERCH010,rdbrboy@okhdfcbank
ORD2016957,MERCH004,nd3msmn@ybl
ORD2052539,MERCH007,bank_acct_3013****2422
ORD2026286,MERCH017,gckcqoj@oksbi
ORD2006475,MERCH008,bank_acct_5456****7026
ORD2038556,MERCH014,m07gavx@okhdfcbank
ORD2018025,MERCH016,g8o6lw3@okhdfcbank
ORD2018823,MERCH002,bank_acct_0173****5759
ORD2046790,MERCH005,bank_acct_0833****0573
ORD2037618,MERCH009,dhbecsn@ybl
ORD2057111,MERCH003,bank_acct_1446****0446
ORD2028659,MERCH002,bank_acct_6807****0666
ORD2050716,MERCH008,bank_acct_3839****0626
ORD2008242,MERCH017,bank_acct_8022****2059
ORD2046682,MERCH014,bank_acct_8591****8692
ORD2033920,MERCH012,2p09gyt@okicici
ORD2038495,MERCH015,1mrrwuk@oksbi
ORD2056041,MERCH003,bank_acct_4843****3584
ORD2029264,MERCH019,rcwsjcu@okicici
ORD2019793,MERCH005,3t03csc@okhdfcbank
ORD2048492,MERCH005,bank_acct_3427****0474
ORD2038346,MERCH013,bank_acct_1073****4817
ORD2021015,MERCH003,pbmgpqk@okhdfcbank
ORD2055834,MERCH019,bank_acct_0492****4895
ORD2056268,MERCH019,bank_acct_5158****4436
ORD2028322,MERCH002,td9ly3j@okhdfcbank
ORD2047481,MERCH014,l65kfhn@ybl
ORD2051939,MERCH005,ewgg0au@okhdfcbank
ORD2039679,MERCH008,bank_acct_4837****1789
ORD2014543,MERCH010,1tin9gr@okhdfcbank
ORD2007455,MERCH009,21v0ne4@okicici
ORD2034533,MERCH011,bank_acct_8329****2894
ORD2053903,MERCH013,fcgifi9@okaxis
ORD2000264,MERCH014,bank_acct_8017****6034
ORD2009196,MERCH011,pjjnwk2@okhdfcbank
ORD2040276,MERCH003,bank_acct_6254****4968
ORD2012772,MERCH008,bank_acct_2192****0328
ORD2000369,MERCH003,bank_acct_1520****6569
ORD2047363,MERCH007,bank_acct_8909****0914
ORD2050087,MERCH005,1krzahf@okhdfcbank
ORD2014208,MERCH019,bank_acct_8141****0410
ORD2033269,MERCH004,bank_acct_6144****5242
ORD2052047,MERCH005,327xmrn@okaxis
ORD2049667,MERCH003,3t03csc@okhdfcbank
ORD2003952,MERCH015,bank_acct_4347****2708
ORD2046778,MERCH015,bank_acct_7866****0878
ORD2036526,MERCH011,bank_acct_4946****2410
ORD2001582,MERCH018,iqrozy9@okicici
ORD2028518,MERCH018,c4awpoc@okaxis
ORD2042316,MERCH012,bank_acct_1493****6206
ORD2031737,MERCH007,ezhqzqn@oksbi
ORD2030188,MERCH015,bank_acct_9143****3149
ORD2020138,MERCH010,bank_acct_3553****8519
ORD2043731,MERCH015,p6qxq3p@okhdfcbank
ORD2050206,MERCH009,bank_acct_1205****1187
ORD2057964,MERCH004,bank_acct_7230****5314
ORD2037125,MERCH003,gbbf9ju@oksbi
ORD2022222,MERCH006,bank_acct_0432****1445
ORD2037154,MERCH010,z2zqpld@okicici
ORD2036356,MERCH020,bank_acct_0371****2486
ORD2044763,MERCH002,b1lolvp@okicici
ORD2015314,MERCH007,bank_acct_0283****0596
ORD2030151,MERCH011,nn6epmw@okhdfcbank
ORD2016465,MERCH005,bank_acct_4737****8310
ORD2029386,MERCH003,bank_acct_0998****7818
ORD2013266,MERCH008,ibb8vm3@okhdfcbank
ORD2018121,MERCH012,mktqvwd@okicici
ORD2025526,MERCH013,ar6esrr@oksbi
ORD2055775,MERCH017,bank_acct_9228****5816
ORD2007185,MERCH002,en2y7nl@okhdfcbank
ORD2022105,MERCH010,wu0jx5i@oksbi
ORD2015447,MERCH009,jglqrm0@okhdfcbank
ORD2013522,MERCH006,bank_acct_6721****7159
ORD2020416,MERCH001,rzsuzgu@okaxis
ORD2020533,MERCH013,bank_acct_2785****5460
ORD2059507,MERCH015,vvx9wrr@oksbi
ORD2031238,MERCH018,tw3domg@okaxis
ORD2059937,MERCH018,jlg3n9q@okaxis
ORD2045004,MERCH008,bank_acct_2073****7874
ORD2002542,MERCH004,bank_acct_8220****1102
ORD2051462,MERCH015,rnsbwzd@okhdfcbank
ORD2022915,MERCH004,bank_acct_3990****1906
ORD2030486,MERCH005,kqgmgeh@oksbi
ORD2058043,MERCH004,bank_acct_3177****3889
ORD2031838,MERCH001,e5yxovv@okaxis
ORD2051751,MERCH002,bank_acct_2073****9133
ORD2050904,MERCH008,2yjupoc@okaxis
ORD2003971,MERCH005,bank_acct_4953****8991
ORD2022665,MERCH010,mkdbk6n@okhdfcbank
ORD2036439,MERCH012,bank_acct_9316****5335
ORD2045776,MERCH013,bank_acct_5227****1685
ORD2035612,MERCH003,zg6y6vr@okaxis
ORD2000223,MERCH019,wgzvi6s@okaxis
ORD2006427,MERCH019,bank_acct_9021****3043
ORD2026920,MERCH009,bank_acct_5024****5674
ORD2058311,MERCH003,ecgsbaj@okicici
ORD2032943,MERCH001,mkgzcfs@oksbi
ORD2043479,MERCH003,znjfktz@okaxis
ORD2051073,MERCH007,bank_acct_1625****3876
ORD2001906,MERCH015,dl1d8w8@ybl
ORD2051236,MERCH005,0kn3eo3@oksbi
ORD2047060,MERCH003,bank_acct_1942****3016
ORD2047567,MERCH011,2kcsnvv@okaxis
ORD2028583,MERCH004,wit036a@oksbi
ORD2045778,MERCH002,4brwhud@okaxis
ORD2001019,MERCH015,e1r6cus@okicici
ORD2058446,MERCH002,xuoifcd@ybl
ORD2008999,MERCH006,bank_acct_4529****4299
ORD2044632,MERCH019,bank_acct_3333****7575
ORD2001877,MERCH014,bank_acct_5584****6287
ORD2047576,MERCH013,bank_acct_8078****3786
ORD2058141,MERCH016,ez9qzfk@okaxis
ORD2034891,MERCH001,bank_acct_4802****2478
ORD2020498,MERCH013,ratueg2@okaxis
ORD2014641,MERCH014,bank_acct_5828****2357
ORD2035315,MERCH006,bank_acct_1446****9043
ORD2059113,MERCH012,bank_acct_6622****8189
ORD2004744,MERCH007,bank_acct_3353****8781
ORD2050021,MERCH006,zvxfyrv@ybl
ORD2026199,MERCH009,egf6kyy@ybl
ORD2031860,MERCH009,bank_acct_5038****7758
ORD2037557,MERCH019,bank_acct_6254****4968
ORD2045114,MERCH002,bank_acct_7651****9048
